gameweek,player_id,player_name,team_id,position_id,overall_team_strength,team_position_relevant_strength,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
7,63,Philip Billing,3,3,1100,1055,14,1,1,Arsenal,7,29,36.6,43.4,25.0,0.47,13,54,82.6,95.7,82.0,1.4000000000000001,5.5,1.53,74,2,0
7,65,Ryan Christie,3,3,1100,1055,14,1,1,Arsenal,10,47,46.400000000000006,76.39999999999999,48.0,0.66,15,67,74.4,113.3,66.0,0.88,5.5,1.53,82,2,0
7,66,Lewis Cook,3,3,1100,1055,14,1,1,Arsenal,7,43,41.8,40.3,17.0,0.15,8,48,53.4,41.7,18.0,0.19,5.5,1.53,90,2,0
7,77,Norberto Murara Neto,3,1,1100,1145,14,1,1,Arsenal,12,59,95.19999999999999,0.0,0.0,-4.37,26,122,204.39999999999998,0.0,0.0,-10.580000000000002,5.5,1.53,90,1,0
7,83,Marcos Senesi,3,2,1100,1145,14,1,1,Arsenal,5,21,46.0,14.4,0.0,-1.4100000000000001,7,48,87.4,25.5,0.0,-5.33,5.5,1.53,90,0,0
7,85,Dominic Solanke,3,4,1100,1055,14,1,1,Arsenal,15,44,78.2,15.6,119.0,1.62,29,80,138.6,71.50000000000001,217.0,3.0100000000000002,5.5,1.53,90,2,0
7,89,Illia Zabarnyi,3,2,1100,1145,14,1,1,Arsenal,7,44,43.0,2.0,6.0,-4.37,11,90,111.0,4.8,8.0,-10.580000000000002,5.5,1.53,90,0,0
7,90,Kristoffer Ajer,4,2,1100,1150,13,2,16,Nott'm Forest,1,13,8.0,2.1,45.0,1.56,6,35,39.599999999999994,13.5,54.0,0.40000000000000036,2.7,2.1,88,2,0
7,96,Nathan Collins,4,2,1100,1150,13,2,16,Nott'm Forest,6,45,61.8,27.400000000000002,4.0,-0.77,15,102,105.8,30.200000000000003,29.0,-3.29,2.7,2.1,90,2,0
7,101,Mark Flekken,4,1,1100,1150,13,2,16,Nott'm Forest,5,41,61.2,0.0,0.0,-2.79,17,108,147.2,0.0,0.0,-5.31,2.7,2.1,90,2,0
7,104,Aaron Hickey,4,2,1100,1150,13,2,16,Nott'm Forest,3,31,25.6,4.8,27.0,-2.76,10,66,49.0,20.900000000000002,33.0,-4.9399999999999995,2.7,2.1,68,1,0
7,105,Vitaly Janelt,4,3,1100,1055,13,2,16,Nott'm Forest,9,45,37.0,39.400000000000006,23.0,0.3,16,66,64.6,67.6,49.0,0.54,2.7,2.1,88,2,0
7,106,Mathias Jensen,4,3,1100,1055,13,2,16,Nott'm Forest,20,71,103.4,83.30000000000001,30.0,0.75,30,119,142.4,175.3,53.0,1.6,2.7,2.1,68,6,1
7,107,Keane Lewis-Potter,4,3,1100,1055,13,2,16,Nott'm Forest,4,3,6.0,17.6,30.0,0.98,6,5,9.0,18.0,51.0,1.21,2.7,2.1,74,2,0
7,108,Bryan Mbeumo,4,3,1100,1055,13,2,16,Nott'm Forest,11,31,57.4,70.6,70.0,1.6800000000000002,36,98,177.6,133.7,196.0,5.379999999999999,2.7,2.1,90,2,0
7,110,Christian Nørgaard,4,3,1100,1055,13,2,16,Nott'm Forest,5,45,46.8,36.5,38.0,0.64,15,86,103.60000000000001,73.99999999999999,56.0,0.8200000000000001,2.7,2.1,90,9,1
7,112,Ethan Pinnock,4,2,1100,1150,13,2,16,Nott'm Forest,4,38,67.4,11.799999999999999,20.0,-2.79,14,97,138.6,34.300000000000004,40.0,-5.31,2.7,2.1,90,2,0
7,113,David Raya Martin,1,1,1365,1360,14,2,3,Bournemouth,10,45,35.8,0.0,0.0,0.7,10,45,35.8,0.0,0.0,0.7,1.53,1.53,90,6,1
7,119,Yoane Wissa,4,4,1100,1055,13,2,16,Nott'm Forest,5,11,13.6,29.1,79.0,0.96,27,79,97.79999999999998,53.900000000000006,207.0,2.9699999999999998,2.7,2.1,90,2,0
