gameweek,player_id,player_name,team_id,overall_team_strength,team_position_relevant_strength,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,99,Josh Dasilva,4,1100,1055,3,17,2,1,NULL,0,0,0.0,0.0,0.0,0.0,3,6,6.8,15.4,14.0,0.23,12.0,1.4,-1,-1,-1
28,100,Halil Dervişoğlu,4,1100,1055,4,17,2,1,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,12.0,1.4,-1,-1,-1
28,101,Mark Flekken,4,1100,1150,1,17,2,1,NULL,4,48,65.8,0.0,0.0,-2.1400000000000006,75,473,660.0,10.0,0.0,-36.91,12.0,1.4,-1,-1,-1
28,102,Charlie Goode,4,1100,1150,2,17,2,1,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,12.0,1.4,-1,-1,-1
28,103,Rico Henry,4,1100,1150,2,17,2,1,NULL,0,0,0.0,0.0,0.0,2.5,13,74,72.8,67.89999999999999,17.0,-2.62,12.0,1.4,-1,-1,-1
28,104,Aaron Hickey,4,1100,1150,2,17,2,1,NULL,0,0,0.0,0.0,0.0,2.5,17,87,66.6,28.400000000000002,37.0,-7.699999999999999,12.0,1.4,-1,-1,-1
28,105,Vitaly Janelt,4,1100,1055,3,17,2,1,NULL,4,11,24.6,33.4,14.0,0.26,62,303,320.20000000000005,377.7000000000001,216.0,3.659999999999999,12.0,1.4,-1,-1,-1
28,106,Mathias Jensen,4,1100,1055,3,17,2,1,NULL,4,29,23.0,18.7,4.0,0.07,77,311,349.0,445.8,111.0,3.89,12.0,1.4,-1,-1,-1
28,107,Keane Lewis-Potter,4,1100,1055,3,17,2,1,NULL,7,32,51.599999999999994,48.5,23.0,0.32,47,132,184.0,139.09999999999997,286.0,4.47,12.0,1.4,-1,-1,-1
28,108,Bryan Mbeumo,4,1100,1055,3,17,2,1,NULL,0,0,0.0,0.0,0.0,0.0,87,250,384.20000000000005,397.59999999999997,440.0,12.299999999999997,12.0,1.4,-1,-1,-1
28,109,Ben Mee,4,1100,1150,2,17,2,1,NULL,1,9,5.2,0.5,0.0,1.37,39,210,334.79999999999995,88.2,118.0,-22.299999999999997,12.0,1.4,-1,-1,-1
28,110,Christian Nørgaard,4,1100,1055,3,17,2,1,NULL,5,39,49.2,25.5,24.0,0.24,62,356,448.4000000000001,336.9,280.0,5.589999999999999,12.0,1.4,-1,-1,-1
28,111,Frank Onyeka,4,1100,1055,3,17,2,1,NULL,7,19,47.400000000000006,38.39999999999999,26.0,0.27,28,106,209.2,162.09999999999997,170.0,3.1999999999999997,12.0,1.4,-1,-1,-1
28,112,Ethan Pinnock,4,1100,1150,2,17,2,1,NULL,0,0,0.0,0.0,0.0,2.5,59,396,545.0,60.4,190.0,-29.989999999999995,12.0,1.4,-1,-1,-1
28,113,David Raya Martin,1,1350,1330,1,17,1,4,NULL,8,31,18.0,0.0,0.0,2.11,87,378,306.8,0.0,0.0,-11.500000000000002,1.2,1.4,-1,-1,-1
28,114,Mads Roerslev Rasmussen,4,1100,1150,2,17,2,1,NULL,12,44,82.0,66.1,45.0,-0.6699999999999999,50,244,288.19999999999993,229.90000000000003,78.0,-23.669999999999998,12.0,1.4,-1,-1,-1
28,115,Kevin Schade,4,1100,1055,3,17,2,1,NULL,0,0,0.0,0.0,0.0,0.0,19,40,48.2,42.0,62.0,1.15,12.0,1.4,-1,-1,-1
28,116,Thomas Strakosha,4,1100,1150,1,17,2,1,NULL,0,0,0.0,0.0,0.0,2.5,4,24,42.800000000000004,0.0,0.0,0.8200000000000001,12.0,1.4,-1,-1,-1
28,117,Ivan Toney,4,1100,1055,4,17,2,1,NULL,6,12,39.599999999999994,63.6,67.0,0.74,37,123,201.2,100.39999999999999,263.0,3.8499999999999996,12.0,1.4,-1,-1,-1
28,118,Ryan Trevitt,4,1100,1055,3,17,2,1,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,12.0,1.4,-1,-1,-1
28,119,Yoane Wissa,4,1100,1055,4,17,2,1,NULL,16,72,105.0,33.900000000000006,96.0,1.23,78,253,330.40000000000003,249.60000000000002,519.0,8.55,12.0,1.4,-1,-1,-1
28,120,Yegor Yarmoliuk,4,1100,1055,3,17,2,1,NULL,2,6,5.2,1.1,0.0,0.0,18,54,54.400000000000006,41.3,67.0,1.15,12.0,1.4,-1,-1,-1
28,121,Mathias Jorgensen,4,1100,1150,2,17,2,1,NULL,-1,24,31.2,14.7,14.0,-2.1000000000000005,5,54,80.0,34.3,11.0,-5.9,12.0,1.4,-1,-1,-1
28,122,Simon Adingra,5,1100,1070,3,14,1,16,NULL,6,16,14.400000000000002,39.3,78.0,0.5800000000000001,74,240,360.2,306.8,472.0,4.68,1.75,1.57,-1,-1,-1
28,123,Steven Alzate,5,1100,1070,3,14,1,16,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.75,1.57,-1,-1,-1
28,124,Yasin Ayari,5,1100,1070,3,14,1,16,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.75,1.57,-1,-1,-1
28,125,Facundo Buonanotte,5,1100,1070,3,14,1,16,NULL,4,11,19.8,55.5,14.0,0.39,43,122,213.8,237.1,183.0,2.66,1.75,1.57,-1,-1,-1
